person,personLabel,birthDate,birthPlace,birthPlaceLabel,deathDate,deathPlace,deathPlaceLabel,isPoet,isWriter,isChildrensWriter
http://www.wikidata.org/entity/Q709154,Владимир Моисеевич Чеховский,1876-07-19T00:00:00Z,http://www.wikidata.org/entity/Q4145792,Гороховатка,1937-11-03T00:00:00Z,http://www.wikidata.org/entity/Q2664713,Сандармох,False,True,
http://www.wikidata.org/entity/Q2603726,Кузебай Герд,1898-01-14T00:00:00Z,http://www.wikidata.org/entity/Q4091304,Большая Докья,1937-11-01T00:00:00Z,http://www.wikidata.org/entity/Q2664713,Сандармох,True,False,
http://www.wikidata.org/entity/Q2832615,Александр Ахола-Вало,1900-01-27T00:00:00Z,http://www.wikidata.org/entity/Q2660157,Импилахти,1997-09-15T00:00:00Z,http://www.wikidata.org/entity/Q648536,Симрисхамн,False,True,
http://www.wikidata.org/entity/Q118263,Алесь Викторович Беляцкий,1962-09-25T00:00:00Z,http://www.wikidata.org/entity/Q370550,Вяртсиля,,,,False,True,
http://www.wikidata.org/entity/Q1854114,Алесь Прудников,1910-04-27T00:00:00Z,http://www.wikidata.org/entity/Q1025878,Старый Дедин,1941-08-05T00:00:00Z,http://www.wikidata.org/entity/Q16023543,Утуки,True,True,
http://www.wikidata.org/entity/Q2718927,Пентти Саарикоски,1937-09-02T00:00:00Z,http://www.wikidata.org/entity/Q2660157,Импилахти,1983-08-24T00:00:00Z,http://www.wikidata.org/entity/Q186237,Йоэнсуу,True,True,
http://www.wikidata.org/entity/Q528927,Ээва Килпи,1928-02-18T00:00:00Z,http://www.wikidata.org/entity/Q2991812,Хийтола,,,,True,True,
http://www.wikidata.org/entity/Q622850,Раиса Лардот,1938-01-17T00:00:00Z,http://www.wikidata.org/entity/Q4525971,Шокша,,,,True,True,
http://www.wikidata.org/entity/Q942517,Павел Коломенский,1600-01-01T00:00:00Z,,,1656-04-26T00:00:00Z,http://www.wikidata.org/entity/Q166162,Онежское озеро,False,True,
http://www.wikidata.org/entity/Q737626,Генрих Саулович Альтшуллер,1926-10-15T00:00:00Z,http://www.wikidata.org/entity/Q269,Ташкент,1998-09-24T00:00:00Z,http://www.wikidata.org/entity/Q1895,Петрозаводск,False,True,
http://www.wikidata.org/entity/Q533950,Eila Kivikk'aho,1921-02-08T00:00:00Z,http://www.wikidata.org/entity/Q196397,Сортавала,2004-06-21T00:00:00Z,http://www.wikidata.org/entity/Q1757,Хельсинки,True,True,
http://www.wikidata.org/entity/Q1963784,Геннадий Фёдорович Шпаликов,1937-09-06T00:00:00Z,http://www.wikidata.org/entity/Q193922,Сегежа,1974-11-01T00:00:00Z,http://www.wikidata.org/entity/Q593888,Переделкино,True,True,
